customer_id,recency,frequency,monetary,r,f,m,score,segment
C00090,8,5,23510.05,4,3,3,10,Loyal
C00091,115,7,35529.92,2,4,4,10,Loyal
C00092,41,3,14336.56,3,2,2,7,Regular
C00093,2,5,21739.22,4,3,3,10,Loyal
C00094,4,7,50301.240000000005,4,4,4,12,Champions
C00095,124,2,10868.17,2,1,2,5,At Risk
C00096,208,1,2982.8,1,1,1,3,At Risk
C00097,10,4,16441.33,4,2,3,9,Loyal
C00098,77,3,15087.85,2,2,2,6,Regular
C00099,82,4,17465.38,2,2,3,7,Regular
C00100,54,2,7168.76,3,1,1,5,At Risk
C00101,3,2,8538.439999999999,4,1,1,6,Regular
C00102,94,4,15536.97,2,2,2,6,Regular
C00103,175,2,10626.56,1,1,2,4,At Risk
C00104,5,3,9645.42,4,2,2,8,Regular
C00105,151,4,15095.560000000001,1,2,2,5,At Risk
C00106,122,7,35387.67,2,4,4,10,Loyal
C00108,70,4,26839.56,2,2,4,8,Regular
C00109,10,8,58095.090000000004,4,4,4,12,Champions
C00110,177,3,5024.12,1,2,1,4,At Risk
C00111,44,3,29067.4,3,2,4,9,Loyal
C00112,62,9,43698.03,3,4,4,11,Champions
C00113,157,3,23948.24,1,2,3,6,Regular
C00114,228,2,12233.689999999999,1,1,2,4,At Risk
C00115,15,3,18352.190000000002,4,2,3,9,Loyal
C00116,22,5,35490.49,4,3,4,11,Champions
C00117,9,5,35221.3,4,3,4,11,Champions
C00118,49,4,18524.48,3,2,3,8,Regular
C00119,244,3,27900.300000000003,1,2,4,7,Regular
C00120,14,3,18772.629999999997,4,2,3,9,Loyal
C00121,1,5,18767.12,4,3,3,10,Loyal
C00122,61,5,10212.779999999999,3,3,2,8,Regular
C00123,9,5,14151.83,4,3,2,9,Loyal
C00124,20,5,15174.91,4,3,2,9,Loyal
C00125,40,5,12977.87,3,3,2,8,Regular
C00126,205,3,12351.14,1,2,2,5,At Risk
C00127,176,3,17014.92,1,2,3,6,Regular
C00128,138,5,15964.27,1,3,2,6,Regular
C00129,151,3,31983.63,1,2,4,7,Regular
C00130,199,4,20051.68,1,2,3,6,Regular
C00131,85,3,10500.14,2,2,2,6,Regular
C00132,24,5,30938.73,4,3,4,11,Champions
C00133,134,4,21760.54,1,2,3,6,Regular
C00134,307,1,5278.84,1,1,1,3,At Risk
C00135,8,6,30998.649999999998,4,4,4,12,Champions
C00136,112,3,11431.34,2,2,2,6,Regular
C00137,112,3,10278.99,2,2,2,6,Regular
C00138,136,2,10109.77,1,1,2,4,At Risk
C00139,94,4,14416.43,2,2,2,6,Regular
C00140,2,4,20506.03,4,2,3,9,Loyal
C00141,16,3,6484.57,4,2,1,7,Regular
C00142,101,4,17480.989999999998,2,2,3,7,Regular
C00143,13,6,14968.0,4,4,2,10,Loyal
C00145,30,2,4046.12,3,1,1,5,At Risk
C00146,128,3,10465.88,2,2,2,6,Regular
C00147,28,5,17308.19,3,3,3,9,Loyal
C00148,181,2,5490.59,1,1,1,3,At Risk
C00149,138,4,19527.26,1,2,3,6,Regular
C00150,83,3,23803.28,2,2,3,7,Regular
C00151,96,4,23816.5,2,2,3,7,Regular
C00152,125,5,33148.16,2,3,4,9,Loyal
C00153,77,5,27838.45,2,3,4,9,Loyal
C00154,249,1,2937.74,1,1,1,3,At Risk
C00155,80,3,15107.67,2,2,2,6,Regular
C00156,27,6,25521.2,4,4,4,12,Champions
C00157,180,2,13882.970000000001,1,1,2,4,At Risk
C00158,42,4,17001.2,3,2,3,8,Regular
C00159,53,1,3393.01,3,1,1,5,At Risk
C00160,61,5,33385.149999999994,3,3,4,10,Loyal
C00161,149,3,5310.27,1,2,1,4,At Risk
C00162,69,2,4566.55,3,1,1,5,At Risk
C00163,303,3,15897.57,1,2,2,5,At Risk
C00164,14,3,11086.29,4,2,2,8,Regular
C00165,4,3,14666.580000000002,4,2,2,8,Regular
C00166,47,3,8875.86,3,2,1,6,Regular
C00167,161,5,22274.68,1,3,3,7,Regular
C00168,88,2,13157.099999999999,2,1,2,5,At Risk
C00169,36,3,13932.369999999999,3,2,2,7,Regular
C00171,137,5,15678.43,1,3,2,6,Regular
C00172,91,5,23097.03,2,3,3,8,Regular
C00173,69,4,10861.34,3,2,2,7,Regular
C00174,35,3,11690.130000000001,3,2,2,7,Regular
C00175,29,5,19135.46,3,3,3,9,Loyal
C00176,200,3,18385.78,1,2,3,6,Regular
C00177,28,5,24200.58,3,3,3,9,Loyal
C00178,263,3,20175.65,1,2,3,6,Regular
C00179,5,2,3900.08,4,1,1,6,Regular
C00180,86,5,25466.61,2,3,4,9,Loyal
C00181,20,3,18505.73,4,2,3,9,Loyal
C00182,16,6,26100.35,4,4,4,12,Champions
C00183,253,2,8013.73,1,1,1,3,At Risk
C00184,2,7,27548.24,4,4,4,12,Champions
C00185,15,2,10524.18,4,1,2,7,Regular
C00186,58,4,14913.22,3,2,2,7,Regular
C00187,26,4,24946.48,4,2,4,10,Loyal
C00188,214,3,5930.25,1,2,1,4,At Risk
C00189,241,2,1596.1,1,1,1,3,At Risk
C00190,131,5,21527.82,2,3,3,8,Regular
C00191,119,2,4188.67,2,1,1,4,At Risk
C00192,22,4,7688.31,4,2,1,7,Regular
C00193,35,4,14921.51,3,2,2,7,Regular
C00194,52,2,7857.64,3,1,1,5,At Risk
C00195,16,6,38261.520000000004,4,4,4,12,Champions
C00196,26,4,26268.980000000003,4,2,4,10,Loyal
C00197,265,1,13546.82,1,1,2,4,At Risk
C00198,121,3,8068.42,2,2,1,5,At Risk
C00199,40,4,28750.670000000002,3,2,4,9,Loyal
C00200,35,5,23475.18,3,3,3,9,Loyal
C00201,31,4,17059.94,3,2,3,8,Regular
C00202,80,5,22854.41,2,3,3,8,Regular
C00203,36,8,40579.7,3,4,4,11,Champions
C00204,98,3,15952.890000000001,2,2,2,6,Regular
C00205,58,3,5451.64,3,2,1,6,Regular
C00206,77,3,18282.670000000002,2,2,3,7,Regular
C00207,117,5,15740.779999999999,2,3,2,7,Regular
C00208,98,4,26968.79,2,2,4,8,Regular
C00209,38,6,29658.82,3,4,4,11,Champions
C00210,22,3,14901.460000000001,4,2,2,8,Regular
C00211,5,6,29985.84,4,4,4,12,Champions
C00212,2,7,25307.100000000002,4,4,4,12,Champions
C00213,42,1,11747.56,3,1,2,6,Regular
C00214,50,7,31966.82,3,4,4,11,Champions
C00215,83,4,26341.28,2,2,4,8,Regular
C00216,15,7,36448.11,4,4,4,12,Champions
C00217,78,1,656.88,2,1,1,4,At Risk
C00218,132,4,15792.240000000002,2,2,2,6,Regular
C00219,50,3,9254.82,3,2,1,6,Regular
C00220,36,5,33428.65,3,3,4,10,Loyal
C00221,96,4,15861.23,2,2,2,6,Regular
C00222,201,3,19605.14,1,2,3,6,Regular
C00223,80,4,14238.26,2,2,2,6,Regular
C00225,20,5,18226.489999999998,4,3,3,10,Loyal
C00226,53,4,16589.46,3,2,3,8,Regular
C00227,83,3,14680.48,2,2,2,6,Regular
C00228,84,2,11345.21,2,1,2,5,At Risk
C00229,121,1,4745.63,2,1,1,4,At Risk
C00230,131,4,30771.06,2,2,4,8,Regular
C00231,140,3,13545.580000000002,1,2,2,5,At Risk
C00232,85,2,7017.77,2,1,1,4,At Risk
C00233,101,3,10407.990000000002,2,2,2,6,Regular
C00234,18,4,28516.43,4,2,4,10,Loyal
C00235,126,4,28349.54,2,2,4,8,Regular
C00236,364,1,2994.7,1,1,1,3,At Risk
C00237,81,4,16541.6,2,3,3,8,Regular
C00238,6,4,14519.24,4,3,2,9,Loyal
C00239,111,3,19686.71,2,2,3,7,Regular
C00240,357,1,5223.66,1,1,1,3,At Risk
C00241,23,4,17060.27,4,3,3,10,Loyal
C00242,6,2,14167.689999999999,4,1,2,7,Regular
C00243,19,8,59464.99,4,4,4,12,Champions
C00244,20,4,25008.18,4,3,4,11,Champions
C00245,183,1,3194.41,1,1,1,3,At Risk
C00246,192,3,10343.960000000001,1,2,2,5,At Risk
C00248,117,4,14222.27,2,3,2,7,Regular
C00249,66,3,8738.93,3,2,1,6,Regular
C00250,261,3,19636.29,1,2,3,6,Regular
C00251,197,1,5268.62,1,1,1,3,At Risk
C00252,5,3,11710.42,4,2,2,8,Regular
C00253,200,1,8000.4,1,1,1,3,At Risk
C00254,115,5,21092.24,2,3,3,8,Regular
C00255,16,7,40836.37,4,4,4,12,Champions
C00256,178,3,19087.9,1,2,3,6,Regular
C00257,12,2,16808.63,4,1,3,8,Regular
C00258,114,5,17929.33,2,3,3,8,Regular
C00259,93,4,23234.260000000002,2,3,3,8,Regular
C00260,8,6,37814.34,4,4,4,12,Champions
C00261,98,5,27960.63,2,3,4,9,Loyal
C00262,14,1,9679.42,4,1,2,7,Regular
C00263,19,5,12082.46,4,3,2,9,Loyal
C00264,235,6,22569.71,1,4,3,8,Regular
C00266,30,4,22105.66,3,3,3,9,Loyal
C00267,125,4,11866.78,2,3,2,7,Regular
C00268,180,2,2601.29,1,1,1,3,At Risk
C00269,25,2,10911.32,4,1,2,7,Regular
C00270,3,3,12407.49,4,2,2,8,Regular
C00271,72,7,37879.8,2,4,4,10,Loyal
C00272,125,6,15927.970000000001,2,4,2,8,Regular
C00273,90,2,13554.19,2,1,2,5,At Risk
C00274,84,2,7269.76,2,1,1,4,At Risk
C00275,201,3,9588.45,1,2,2,5,At Risk
C00276,36,5,10862.56,3,3,2,8,Regular
C00277,32,2,6002.42,3,1,1,5,At Risk
C00278,16,4,20908.25,4,3,3,10,Loyal
C00279,23,3,13948.41,4,2,2,8,Regular
C00280,79,5,25589.85,2,3,4,9,Loyal
C00281,23,4,12104.359999999999,4,3,2,9,Loyal
C00282,299,2,2819.98,1,1,1,3,At Risk
C00283,146,5,28425.16,1,3,4,8,Regular
C00284,115,3,9063.54,2,2,1,5,At Risk
C00285,60,2,14830.939999999999,3,1,2,6,Regular
C00286,98,9,53565.85,2,4,4,10,Loyal
C00287,94,2,5943.83,2,1,1,4,At Risk
C00288,262,2,14802.18,1,1,2,4,At Risk
C00289,1,3,11126.32,4,2,2,8,Regular
C00290,51,4,18172.45,3,3,3,9,Loyal
C00291,11,8,34267.58,4,4,4,12,Champions
C00292,66,4,14105.47,3,3,2,8,Regular
C00293,153,2,21199.42,1,1,3,5,At Risk
C00294,32,4,35453.4,3,3,4,10,Loyal
C00295,131,4,22394.84,2,3,3,8,Regular
C00296,155,1,4491.4,1,1,1,3,At Risk
C00297,3,7,28433.25,4,4,4,12,Champions
C00298,56,4,15925.95,3,3,2,8,Regular
C00299,132,1,1648.96,2,1,1,4,At Risk
C00300,34,6,35220.91,3,4,4,11,Champions
C00301,218,5,28247.410000000003,1,3,4,8,Regular
C00302,166,3,21522.38,1,2,3,6,Regular
C00303,96,4,14012.76,2,3,2,7,Regular
C00304,40,4,17792.05,3,3,3,9,Loyal
C00305,169,2,8021.77,1,1,1,3,At Risk
C00306,59,7,31303.12,3,4,4,11,Champions
C00307,10,1,12950.06,4,1,2,7,Regular
C00308,70,5,16020.25,2,3,2,7,Regular
C00309,91,5,29173.800000000003,2,3,4,9,Loyal
C00310,38,5,35994.05,3,3,4,10,Loyal
C00311,222,2,8617.42,1,1,1,3,At Risk
C00312,162,1,2707.66,1,1,1,3,At Risk
C00313,15,5,22586.23,4,3,3,10,Loyal
C00314,69,5,21905.69,3,3,3,9,Loyal
C00315,55,4,8011.6,3,3,1,7,Regular
C00316,28,4,15672.21,3,3,2,8,Regular
C00317,9,4,15630.84,4,3,2,9,Loyal
C00318,24,6,27611.51,4,4,4,12,Champions
C00319,115,4,17333.89,2,3,3,8,Regular
C00320,19,5,21627.71,4,3,3,10,Loyal
C00321,37,3,11640.490000000002,3,2,2,7,Regular
C00322,63,5,25884.72,3,3,4,10,Loyal
C00323,71,4,24518.52,2,3,3,8,Regular
C00324,89,4,22347.54,2,3,3,8,Regular
C00325,29,4,11213.19,3,3,2,8,Regular
C00326,180,4,17910.32,1,3,3,7,Regular
C00327,269,1,1037.08,1,1,1,3,At Risk
C00328,159,6,34513.83,1,4,4,9,Loyal
C00329,38,6,8118.47,3,4,1,8,Regular
C00330,218,1,5730.72,1,1,1,3,At Risk
C00331,50,3,5808.6,3,2,1,6,Regular
C00332,66,2,12202.92,3,1,2,6,Regular
C00333,48,7,38367.43,3,4,4,11,Champions
C00334,15,2,8218.33,4,1,1,6,Regular
C00335,54,4,19907.11,3,3,3,9,Loyal
C00336,162,4,37143.61,1,3,4,8,Regular
C00337,38,7,31972.86,3,4,4,11,Champions
C00339,194,3,6916.3099999999995,1,2,1,4,At Risk
C00340,129,2,5774.92,2,1,1,4,At Risk
C00341,102,4,26885.05,2,3,4,9,Loyal
C00342,44,4,31493.51,3,3,4,10,Loyal
C00343,11,8,32206.11,4,4,4,12,Champions
C00344,14,4,24529.13,4,3,3,10,Loyal
C00345,221,2,3300.2700000000004,1,1,1,3,At Risk
C00346,54,3,17872.84,3,2,3,8,Regular
C00347,7,2,10702.3,4,1,2,7,Regular
C00348,82,4,22071.71,2,3,3,8,Regular
C00349,2,3,5255.06,4,2,1,7,Regular
C00350,206,1,3317.43,1,1,1,3,At Risk
C00351,128,2,25223.18,2,1,4,7,Regular
C00352,176,3,20618.93,1,2,3,6,Regular
C00353,271,3,6827.9,1,2,1,4,At Risk
C00354,357,1,1906.55,1,1,1,3,At Risk
C00355,80,4,38139.119999999995,2,3,4,9,Loyal
C00356,9,7,21686.06,4,4,3,11,Champions
C00357,157,9,47179.28,1,4,4,9,Loyal
C00358,4,4,28053.739999999998,4,3,4,11,Champions
C00359,9,4,27430.95,4,3,4,11,Champions
C00360,132,3,28409.7,2,2,4,8,Regular
C00361,134,5,20401.2,1,3,3,7,Regular
C00362,3,4,21755.21,4,3,3,10,Loyal
C00363,339,1,6250.32,1,1,1,3,At Risk
C00364,23,1,8776.11,4,1,1,6,Regular
C00365,54,2,5323.299999999999,3,1,1,5,At Risk
C00366,137,7,28027.98,1,4,4,9,Loyal
C00367,53,3,19193.37,3,2,3,8,Regular
C00368,124,1,6357.72,2,1,1,4,At Risk
C00369,85,5,25199.84,2,3,4,9,Loyal
C00370,158,1,2675.17,1,1,1,3,At Risk
C00371,302,1,8117.06,1,1,1,3,At Risk
C00372,7,10,35234.24,4,4,4,12,Champions
C00373,1,8,20105.54,4,4,3,11,Champions
C00374,9,7,34874.44,4,4,4,12,Champions
C00375,180,2,10675.54,1,1,2,4,At Risk
C00376,101,1,8757.28,2,1,1,4,At Risk
C00377,21,5,21972.15,4,3,3,10,Loyal
C00378,27,2,4590.99,4,1,1,6,Regular
C00379,21,5,34233.96,4,3,4,11,Champions
C00380,13,1,7750.33,4,1,1,6,Regular
C00381,125,4,12861.9,2,3,2,7,Regular
C00382,136,3,9672.38,1,2,2,5,At Risk
C00383,42,8,16410.08,3,4,3,10,Loyal
C00384,104,2,14588.53,2,1,2,5,At Risk
C00385,63,6,26269.059999999998,3,4,4,11,Champions
C00386,2,3,12642.74,4,2,2,8,Regular
C00387,10,5,27124.88,4,3,4,11,Champions
C00388,147,4,17546.18,1,3,3,7,Regular
C00389,86,6,29257.94,2,4,4,10,Loyal
C00390,17,3,7415.17,4,2,1,7,Regular
C00391,224,2,8231.29,1,1,1,3,At Risk
C00392,83,3,16700.05,2,2,3,7,Regular
C00393,43,4,12551.05,3,3,2,8,Regular
C00394,102,5,34244.6,2,3,4,9,Loyal
C00395,247,1,4343.23,1,1,1,3,At Risk
C00396,33,5,45524.13,3,3,4,10,Loyal
C00397,14,6,15473.12,4,4,2,10,Loyal
C00398,9,6,49191.09,4,4,4,12,Champions
C00399,252,2,13562.88,1,1,2,4,At Risk
C00400,118,3,12654.7,2,2,2,6,Regular
C00401,113,2,8450.13,2,1,1,4,At Risk
C00402,120,5,14466.23,2,3,2,7,Regular
C00403,25,6,33288.5,4,4,4,12,Champions
C00404,183,2,4168.1,1,1,1,3,At Risk
C00405,57,3,29851.19,3,2,4,9,Loyal
C00406,17,5,34892.96,4,3,4,11,Champions
C00407,124,1,6071.28,2,1,1,4,At Risk
C00408,131,1,3941.48,2,1,1,4,At Risk
C00409,255,2,3166.19,1,1,1,3,At Risk
C00410,39,4,13775.16,3,3,2,8,Regular
C00411,60,6,36672.6,3,4,4,11,Champions
C00412,255,3,22962.019999999997,1,2,3,6,Regular
C00413,37,3,16693.3,3,2,3,8,Regular
C00414,57,4,13533.34,3,3,2,8,Regular
C00415,79,4,26753.7,2,3,4,9,Loyal
C00416,152,3,16949.19,1,2,3,6,Regular
C00417,17,5,20305.29,4,3,3,10,Loyal
C00418,159,2,12236.949999999999,1,1,2,4,At Risk
C00419,59,3,22831.34,3,2,3,8,Regular
C00420,118,4,20704.9,2,3,3,8,Regular
C00421,6,8,22509.879999999997,4,4,3,11,Champions
C00422,5,4,25943.629999999997,4,3,4,11,Champions
C00423,168,1,2105.23,1,1,1,3,At Risk
C00424,100,4,12879.32,2,3,2,7,Regular
C00425,68,4,21102.66,3,3,3,9,Loyal
C00426,245,1,11105.57,1,1,2,4,At Risk
C00427,11,6,13655.27,4,4,2,10,Loyal
C00428,118,4,14719.7,2,3,2,7,Regular
C00429,9,3,8414.55,4,2,1,7,Regular
C00430,48,8,29060.660000000003,3,4,4,11,Champions
C00431,44,4,23677.02,3,3,3,9,Loyal
C00432,108,3,10813.23,2,2,2,6,Regular
C00433,206,5,17539.39,1,3,3,7,Regular
C00434,118,3,11261.84,2,2,2,6,Regular
C00435,263,3,10844.58,1,2,2,5,At Risk
C00436,96,1,1047.61,2,1,1,4,At Risk
C00437,148,2,7771.17,1,1,1,3,At Risk
C00438,27,1,7774.34,4,1,1,6,Regular
C00439,43,2,6253.75,3,1,1,5,At Risk
C00440,34,6,26686.4,3,4,4,11,Champions
C00441,25,2,15027.42,4,1,2,7,Regular
C00442,25,1,2309.81,4,1,1,6,Regular
C00443,226,1,3192.42,1,1,1,3,At Risk
C00444,41,10,40995.48,3,4,4,11,Champions
C00445,282,1,5046.08,1,1,1,3,At Risk
C00446,17,7,31808.2,4,4,4,12,Champions
C00447,173,2,7611.539999999999,1,1,1,3,At Risk
C00448,66,5,18536.5,3,3,3,9,Loyal
C00449,146,3,22180.27,1,2,3,6,Regular
C00450,7,6,33281.2,4,4,4,12,Champions
C00451,37,2,14550.099999999999,3,1,2,6,Regular
C00452,53,5,20131.47,3,3,3,9,Loyal
C00453,61,3,22128.6,3,2,3,8,Regular
C00454,51,7,29492.399999999998,3,4,4,11,Champions
C00455,2,6,26094.34,4,4,4,12,Champions
C00456,169,1,5344.12,1,1,1,3,At Risk
C00457,173,2,17199.0,1,1,3,5,At Risk
C00458,8,3,9110.16,4,2,1,7,Regular
C00459,59,5,19720.52,3,3,3,9,Loyal
C00460,60,5,17609.68,3,3,3,9,Loyal
C00461,73,12,64189.59,2,4,4,10,Loyal
C00462,16,2,16434.21,4,1,3,8,Regular
C00463,28,8,36530.65,3,4,4,11,Champions
C00464,107,2,8367.48,2,1,1,4,At Risk
C00465,167,3,17190.04,1,2,3,6,Regular
C00466,33,4,6170.59,3,3,1,7,Regular
C00467,8,5,9265.56,4,3,1,8,Regular
C00468,38,6,31108.749999999996,3,4,4,11,Champions
C00469,98,7,31408.629999999997,2,4,4,10,Loyal
C00470,33,1,6067.08,3,1,1,5,At Risk
C00471,350,1,3614.03,1,1,1,3,At Risk
C00472,37,3,24198.61,3,2,3,8,Regular
C00473,48,5,33017.22,3,3,4,10,Loyal
C00474,8,3,19420.53,4,2,3,9,Loyal
C00475,71,4,11121.849999999999,2,3,2,7,Regular
C00476,206,3,17224.52,1,2,3,6,Regular
C00477,102,6,29535.87,2,4,4,10,Loyal
C00478,231,3,22161.55,1,2,3,6,Regular
C00479,309,1,2688.05,1,1,1,3,At Risk
C00480,152,3,5136.110000000001,1,2,1,4,At Risk
C00481,116,5,9750.16,2,3,2,7,Regular
C00482,136,6,25193.16,1,4,4,9,Loyal
C00483,74,5,31295.02,2,3,4,9,Loyal
C00484,135,5,17598.61,1,3,3,7,Regular
C00485,69,3,13376.55,3,2,2,7,Regular
C00486,102,4,8179.48,2,3,1,6,Regular
C00487,117,3,17081.12,2,2,3,7,Regular
C00488,33,4,10908.22,3,3,2,8,Regular
C00489,104,4,22673.8,2,3,3,8,Regular
C00490,12,3,13877.03,4,2,2,8,Regular
C00491,126,4,21169.81,2,3,3,8,Regular
C00492,151,2,9942.869999999999,1,1,2,4,At Risk
C00493,22,2,3346.2,4,1,1,6,Regular
C00494,97,4,11593.08,2,3,2,7,Regular
C00495,20,4,13571.220000000001,4,3,2,9,Loyal
C00496,226,4,39988.5,1,3,4,8,Regular
C00497,59,8,41825.46,3,4,4,11,Champions
C00498,44,6,35028.12,3,4,4,11,Champions
C00499,214,4,18114.920000000002,1,3,3,7,Regular
C00500,12,1,706.33,4,1,1,6,Regular
C00501,240,2,6523.110000000001,1,1,1,3,At Risk
C00502,337,1,9620.6,1,1,2,4,At Risk
C00503,130,4,10028.09,2,3,2,7,Regular
C00504,138,5,22550.48,1,3,3,7,Regular
C00505,26,3,5574.6,4,2,1,7,Regular
C00506,86,5,16493.62,2,3,3,8,Regular
C00507,147,1,6382.8,1,1,1,3,At Risk
C00508,22,3,15782.32,4,2,2,8,Regular
C00509,259,3,20833.32,1,2,3,6,Regular
C00510,11,8,22522.21,4,4,3,11,Champions
C00511,80,4,29106.72,2,3,4,9,Loyal
C00512,249,3,15490.21,1,2,2,5,At Risk
C00513,305,1,4452.12,1,1,1,3,At Risk
C00514,30,4,47591.09,3,3,4,10,Loyal
C00516,125,3,15397.34,2,2,2,6,Regular
C00517,17,6,31256.84,4,4,4,12,Champions
C00518,180,1,2999.57,1,1,1,3,At Risk
C00519,17,4,8761.76,4,3,1,8,Regular
C00520,21,5,25228.1,4,3,4,11,Champions
C00522,6,4,19998.68,4,3,3,10,Loyal
C00523,58,4,7885.71,3,3,1,7,Regular
C00524,30,8,28640.23,3,4,4,11,Champions
C00525,73,6,22045.12,2,4,3,9,Loyal
C00526,5,7,20734.45,4,4,3,11,Champions
C00527,109,1,7102.75,2,1,1,4,At Risk
C00528,166,3,19452.76,1,2,3,6,Regular
C00529,6,4,17437.32,4,3,3,10,Loyal
C00530,9,7,33451.14,4,4,4,12,Champions
C00531,111,5,20950.23,2,3,3,8,Regular
C00532,12,4,42927.299999999996,4,3,4,11,Champions
C00533,190,2,16564.309999999998,1,1,3,5,At Risk
C00534,20,6,23326.65,4,4,3,11,Champions
C00535,99,5,14500.09,2,3,2,7,Regular
C00536,2,4,20800.88,4,3,3,10,Loyal
C00537,113,3,14865.6,2,2,2,6,Regular
C00538,153,3,19731.89,1,2,3,6,Regular
C00539,105,6,18114.38,2,4,3,9,Loyal
C00540,118,3,22024.03,2,2,3,7,Regular
C00541,22,6,31645.85,4,4,4,12,Champions
C00542,190,3,17099.09,1,2,3,6,Regular
C00543,59,4,13800.91,3,3,2,8,Regular
C00544,155,3,11077.83,1,2,2,5,At Risk
C00545,161,5,29348.47,1,3,4,8,Regular
C00546,72,2,11426.46,2,1,2,5,At Risk
C00547,284,1,12280.58,1,1,2,4,At Risk
C00548,11,3,11255.56,4,2,2,8,Regular
C00549,61,4,23592.93,3,3,3,9,Loyal
C00550,16,3,16086.16,4,2,2,8,Regular
